"Four-Year Graduation Rates, 2010-11"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,,,"Graduates",
"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Eligible For Free Lunch","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Eligible For Reduced Lunch","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Not Eligible For Lunch",13,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Eligible For Free Lunch",87,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Eligible For Reduced Lunch",8,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Not Eligible For Lunch",88,75,85.2
"Avon School District","=""0040011""","Avon High School","=""0046111""","Eligible For Free Lunch","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Eligible For Reduced Lunch","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Not Eligible For Lunch",248,237,95.6
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Eligible For Free Lunch",8,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Eligible For Reduced Lunch",6,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Not Eligible For Lunch",246,235,95.5
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Eligible For Free Lunch",12,9,"*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Eligible For Reduced Lunch",7,7,"*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Not Eligible For Lunch",226,215,95.1
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Eligible For Free Lunch",50,33,66.0
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Eligible For Reduced Lunch",12,8,"*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Not Eligible For Lunch",109,86,78.9
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Eligible For Free Lunch",7,"*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Eligible For Reduced Lunch","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Not Eligible For Lunch","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Eligible For Free Lunch",7,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Not Eligible For Lunch",66,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Eligible For Free Lunch",25,"*","*"
