"Four-Year Graduation Rates, 2013-14"
"All Districts, All Schools, All Students"

"",,,"Graduates",
"District","School","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Amistad Academy",23,19,82.6
"Ansonia School District","Ansonia High School",150,120,80.0
"Avon School District","Avon High School",269,265,98.5
"Berlin School District","Berlin High School",234,223,95.3
"Bethel School District","Bethel High School",244,226,92.6
"Bloomfield School District","Bloomfield High School",133,120,90.2
"Bloomfield School District","Global Experience Magnet School",26,"*","*"
"Bloomfield School District","Learning Academy at Bloomfield",8,"*","*"
"Bolton School District","Bolton High School",101,96,95.0
"Branford School District","Branford High School",292,271,92.8
"Bridgeport School District","Bassick High School",347,216,62.2
"Bridgeport School District","Central High School",562,453,80.6
"Bridgeport School District","Harding High School",305,213,69.8
"Bristol School District","Bristol Central High School",330,274,83.0
"Bristol School District","Bristol Eastern High School",350,295,84.3
"Brookfield School District","Brookfield High School",231,225,97.4
"Canton School District","Canton High School",135,128,94.8
"Capitol Region Education Council","Academy of Aerospace and Engineering",33,28,84.8
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time",95,80,84.2
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy",46,43,93.5
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies",96,92,95.8
"Capitol Region Education Council","Public Safety Academy",45,38,84.4
"Cheshire School District","Cheshire High School",366,360,98.4
"Clinton School District","The Morgan School",128,121,94.5
"Colchester School District","Bacon Academy",248,237,95.6
"Common Ground High School District","Common Ground High School",29,26,89.7
"Connecticut Technical High School System","A. I. Prince Technical High School",183,175,95.6
"Connecticut Technical High School System","Bullard-Havens Technical High School",185,170,91.9
"Connecticut Technical High School System","E. C. Goodwin Technical High School",143,136,95.1
"Connecticut Technical High School System","Eli Whitney Technical High School",111,102,91.9
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School",127,120,94.5
"Connecticut Technical High School System","Emmett O'Brien Technical High School",127,122,96.1
"Connecticut Technical High School System","H. C. Wilcox Technical High School",178,172,96.6
"Connecticut Technical High School System","H. H. Ellis Technical High School",111,107,96.4
"Connecticut Technical High School System","Henry Abbott Technical High School",143,137,95.8
"Connecticut Technical High School System","Howell Cheney Technical High School",154,153,99.4
"Connecticut Technical High School System","Norwich Technical High School",156,152,97.4
"Connecticut Technical High School System","Oliver Wolcott Technical High School",145,140,96.6
"Connecticut Technical High School System","Platt Technical High School",207,203,98.1
"Connecticut Technical High School System","Vinal Technical High School",141,133,94.3
"Connecticut Technical High School System","W. F. Kaynor Technical High School",183,180,98.4
"Connecticut Technical High School System","Windham Technical High School",129,127,98.4
"Coventry School District","Coventry High School",131,128,97.7
"Cromwell School District","Cromwell High School",131,122,93.1
"Danbury School District","Danbury High School",711,586,82.4
"Darien School District","Darien High School",329,323,98.2
"Derby School District","Derby High School",102,83,81.4
"East Granby School District","East Granby High School",64,60,93.8
"East Haddam School District","Nathan Hale-Ray High School",100,96,96.0
"East Hampton School District","East Hampton High School",119,116,97.5
"East Hartford School District","Connecticut IB Academy",46,45,97.8
"East Hartford School District","East Hartford High School",352,304,86.4
"East Hartford School District","Stevens Alternate High school",83,34,41.0
"East Haven School District","East Haven High School",250,207,82.8
"East Lyme School District","East Lyme High School",262,255,97.3
"East Windsor School District","East Windsor High School",107,96,89.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)",34,31,91.2
